project,category,column1,column2,column3,,
004,Pokémon Emerald,Teddiursa,Area 6,,,
004,Pokémon Emerald,Remoraid,Area 6 fishing,,,
004,Pokémon Emerald,Octillery,Area 5 fishing,,,
004,Pokémon Emerald,Houndour,Area 6,,,
004,Pokémon Emerald,Stantler,Area 5,,,
004,Pokémon Emerald,Miltank,Area 6,,,
004,"Pokémon FireRed, LeafGreen",Nidoran F,"Area 1, 3 
Center, Area 2 leafgreen",,,
004,"Pokémon FireRed, LeafGreen",Nidorina,"Center, Area 2 
Area 1, 3 leafgreen",,,
004,"Pokémon FireRed, LeafGreen",Nidoran M,"Area 1, 3 
Center, Area 2 firered",,,
004,"Pokémon FireRed, LeafGreen",Nidorino,"Center, Area 2 
Area 1, 3 firered",,,
004,"Pokémon FireRed, LeafGreen",Paras,"Area 1, 2",,,
004,"Pokémon FireRed, LeafGreen",Parasect,"Center, Area 1",,,
004,"Pokémon FireRed, LeafGreen",Venonat,"Center, Area 3",,,
004,"Pokémon FireRed, LeafGreen",Venomoth,"Area 2, 3",,,
004,"Pokémon FireRed, LeafGreen",Pysduck,"Area 1, 2, 3, Center surfing fishing firered",,,
004,"Pokémon FireRed, LeafGreen",Poliwag,"Area 1, 2, 3, Center fishing",,,
004,"Pokémon FireRed, LeafGreen",Slowpoke,"Area 1, 2, 3, Center surfing fishing leafgreen",,,
004,"Pokémon FireRed, LeafGreen",Doduo,"Area 1, 3",,,
004,"Pokémon FireRed, LeafGreen",Exeggcute,"Area 1, 2, 3, Center",,,
004,"Pokémon FireRed, LeafGreen",Rhyhorn,"Center, Area 2",,,
004,"Pokémon FireRed, LeafGreen",Chansey,"Center, Area 2",,,
004,"Pokémon FireRed, LeafGreen",Kangaskhan,"Area 1, 3",,,
004,"Pokémon FireRed, LeafGreen",Goldeen,"Area 1, 2, 3, Center fishing",,,
004,"Pokémon FireRed, LeafGreen",Seaking,"Area 1, 2, 3, Center fishing",,,
004,"Pokémon FireRed, LeafGreen",Scyther,"Center, Area 1 firered",,,
004,"Pokémon FireRed, LeafGreen",Pinsir,"Center, Area 1 leafgreen",,,
004,"Pokémon FireRed, LeafGreen",Tauros,"Area 2, Area 3",,,
004,"Pokémon FireRed, LeafGreen",Magikarp,"Area 1, 2, 3, Center fishing",,,
004,"Pokémon FireRed, LeafGreen",Dratini,"Area 1, 2, 3, Center fishing",,,
004,"Pokémon FireRed, LeafGreen",Dragonair,"Area 1, 2, 3, Center fishing",,,
004,"Pokémon Diamond, Pearl, Platinum",Arbok,Dual-Slot firered,,,
004,"Pokémon Diamond, Pearl, Platinum",Paras,Binoculars,,,
004,"Pokémon Diamond, Pearl, Platinum",Psyduck,"Area 1, 2, 3, 4, 6 encounter diamond pearl
Area 1, 2, 3, 4, 5, 6 surfing diamond pearl",,,
004,"Pokémon Diamond, Pearl, Platinum",Golduck,Binoculars diamond pearl,,,
004,"Pokémon Diamond, Pearl, Platinum",Exeggcute,Binoculars,,,
004,"Pokémon Diamond, Pearl, Platinum",Tangela,"Area 1, 2, 3, 4, 5, 6, Binoculars platinum",,,
004,"Pokémon Diamond, Pearl, Platinum",Kangaskhan,Binoculars,,,
004,"Pokémon Diamond, Pearl, Platinum",Magikarp,"Area 1, 2, 3, 4, 5, 6 fishing",,,
004,"Pokémon Diamond, Pearl, Platinum",Gyarados,"Area 1, 2, 3, 4, 5, 6 fishing",,,
004,"Pokémon Diamond, Pearl, Platinum",Hoothoot,"Area 3, 4, 5, 6 night
Area 1, 2 diamond pearl night",,,
004,"Pokémon Diamond, Pearl, Platinum",Noctowl,"Area 1, 2 night 
Area 3, 4 platinum night",,,
004,"Pokémon Diamond, Pearl, Platinum",Marill,"Area 1, 2, 3, 4, 5, 6 encounter diamond pearl surfing",,,
004,"Pokémon Diamond, Pearl, Platinum",Yanma,"Area 1, 2, 3, 4, 5, 6, Binoculars diamond pearl",,,
004,"Pokémon Diamond, Pearl, Platinum",Wooper,"Area 1, 2, 3, 4, 5, 6 encounter surfing",,,
004,"Pokémon Diamond, Pearl, Platinum",Quagsire,"Area 1, 2, 3, 4, 5, 6 encounter surfing
Binoculars platinum",,,
004,"Pokémon Diamond, Pearl, Platinum",Shroomish,Binocluars,,,
004,"Pokémon Diamond, Pearl, Platinum",Azurill,"Area 1, 2, 3, 4, 5, 6 diamond pearl",,,
004,"Pokémon Diamond, Pearl, Platinum",Roselia,Binoculars diamond pearl,,,
004,"Pokémon Diamond, Pearl, Platinum",Gulpin,Binoculars,,,
004,"Pokémon Diamond, Pearl, Platinum",Carvanha,"Area 1, 2, 3, 4, 5, 6 fishing",,,
004,"Pokémon Diamond, Pearl, Platinum",Barboach,"Area 1, 2, 3, 4, 5, 6 fishing",,,
004,"Pokémon Diamond, Pearl, Platinum",Whiscash,"Area 1, 2, 3, 4, 5, 6 fishing",,,
004,"Pokémon Diamond, Pearl, Platinum",Kecleon,Binoculars diamond pearl,,,
004,"Pokémon Diamond, Pearl, Platinum",Tropius,"Area 1, 2, Binoculars platinum dawn day",,,
004,"Pokémon Diamond, Pearl, Platinum",Starly,"Area 1, 2, 3, 4, 5, 6 diamond pearl dawn day",,,
004,"Pokémon Diamond, Pearl, Platinum",Staravia,Binoculars diamond pearl,,,
004,"Pokémon Diamond, Pearl, Platinum",Bidoof,"Area 1, 2, 3, 4, 5, 6 diamond pearl",,,
004,"Pokémon Diamond, Pearl, Platinum",Bibarel,"Area 1, 2, 3, 4, 5, 6",,,
004,"Pokémon Diamond, Pearl, Platinum",Budew,"Area 1, 2, 3, 4, 5, 6 diamond pealr dawn day",,,
004,"Pokémon Diamond, Pearl, Platinum",Skorupi,Binoculars,,,
004,"Pokémon Diamond, Pearl, Platinum",Drapion,Binoculars,,,
004,"Pokémon Diamond, Pearl, Platinum",Croagunk,Binoculars,,,
004,"Pokémon Diamond, Pearl, Platinum",Toxicroak,Binoculars,,,
004,"Pokémon Diamond, Pearl, Platinum",Carnivine,Binoculars,,,
004,"Pokémon HeartGold, SoulSilver",Pidgey,Forest dawn day,,,
004,"Pokémon HeartGold, SoulSilver",Rattata,"Plains dawn day
Mountain",,,
004,"Pokémon HeartGold, SoulSilver",Raticate,"Plains night
Meadow – Plains 5
Mountain dawn day",,,
004,"Pokémon HeartGold, SoulSilver",Spearow,Wetland dawn day,,,
004,"Pokémon HeartGold, SoulSilver",Fearow,"Peak – Forest 5
Desert night
Desert – Plains 3
Desert – Peak 6 night
Wasteland night",,,
004,"Pokémon HeartGold, SoulSilver",Ekans,Marshland dawn day,,,
004,"Pokémon HeartGold, SoulSilver",Arbok,Marshland dawn day,,,
004,"Pokémon HeartGold, SoulSilver",Sandshrew,Desert,,,
004,"Pokémon HeartGold, SoulSilver",Sandslash,Desert,,,
004,"Pokémon HeartGold, SoulSilver",Nidoran F,Savannah dawn day,,,
004,"Pokémon HeartGold, SoulSilver",Nidorina,Savannah night,,,
004,"Pokémon HeartGold, SoulSilver",Nidoran M,Savannah dawn day,,,
004,"Pokémon HeartGold, SoulSilver",Nidorino,Savannah night,,,
004,"Pokémon HeartGold, SoulSilver",Clefairy,"Meadow night
Meadow – Peak 5 night",,,
004,"Pokémon HeartGold, SoulSilver",Jigglypuff,"Meadow dawn day 
Swamp dawn day'",,,
004,"Pokémon HeartGold, SoulSilver",Zubat,"Mountain night
Rocky Beach night
Savannah night",,,
004,"Pokémon HeartGold, SoulSilver",Golbat,"Mountain night
Savannah night",,,
004,"Pokémon HeartGold, SoulSilver",Oddish,Marshland night,,,
004,"Pokémon HeartGold, SoulSilver",Gloom,"Marshland night
Marshland – Plains 2",,,
004,"Pokémon HeartGold, SoulSilver",Paras,"Peak – Forest 3
Swamp day dawn",,,
004,"Pokémon HeartGold, SoulSilver",Parasect,Swamp – Plains 3,,,
004,"Pokémon HeartGold, SoulSilver",Diglett,Marshland – Peak 5,,,
004,"Pokémon HeartGold, SoulSilver",Psyduck,"Wetland night
Wetland surfing",,,
004,"Pokémon HeartGold, SoulSilver",Golduck,"Wasteland – Waterside 3
Wetland night
Wetland – Peak 5
Wetland – Waterside 4 surfing
Wetland – Waterside 6 surfing",,,
004,"Pokémon HeartGold, SoulSilver",Poliwag,"Meadow fishing
Marshland surfing fishing
Marshland – Waterside 2 fishing
Marshland – Waterside 3 fishing
Rocky Beach surfing
Wetland surfing fishing",,,
004,"Pokémon HeartGold, SoulSilver",Poliwhirl,"Meadow fishing
Meadow – Waterside 2 fishing
Meadow – Waterside 3 fishing
Meadow – Waterside 5 fishing
Marshland fishing
Rocky Beach surfing
Wetland fishing
Wetland – Waterside 2 fishing
Wetland – Waterside 6 fishing",,,
004,"Pokémon HeartGold, SoulSilver",Abra,Plains,,,
004,"Pokémon HeartGold, SoulSilver",Machop,Wasteland dawn day,,,
004,"Pokémon HeartGold, SoulSilver",Machoke,"Wasteland dawn
Wasteland – Peak 5",,,
004,"Pokémon HeartGold, SoulSilver",Bellsprout,"Forest
Wasteland – Forest 3",,,
004,"Pokémon HeartGold, SoulSilver",Weepinbell,Swamp – Forest 8,,,
004,"Pokémon HeartGold, SoulSilver",Geodude,"Peak
Meadow – Peak 3 dawn day",,,
004,"Pokémon HeartGold, SoulSilver",Graveler,Peak dawn day,,,
004,"Pokémon HeartGold, SoulSilver",Ponyta,Plains – Peak 5,,,
004,"Pokémon HeartGold, SoulSilver",Slowpoke,Rocky Beach,,,
004,"Pokémon HeartGold, SoulSilver",Slowbro,"Rocky Beach
Rocky Beach – Peak 3
Rocky Beach – Waterside 5",,,
004,"Pokémon HeartGold, SoulSilver",Magnemite,"Peak
Wasteland",,,
004,"Pokémon HeartGold, SoulSilver",Magneton,"Peak
Mountain
Mountain – Plains 3",,,
004,"Pokémon HeartGold, SoulSilver",Farfetch’d,"Wetland dawn day
Wetland – Forest 3",,,
004,"Pokémon HeartGold, SoulSilver",Doduo,"Rocky Beach dawn day
Wetland – Peak 4",,,
004,"Pokémon HeartGold, SoulSilver",Dodrio,Rocky Beach – Plains 10,,,
004,"Pokémon HeartGold, SoulSilver",Grimer,"Marshland dawn day
Marshland – Surfing",,,
004,"Pokémon HeartGold, SoulSilver",Muk,"Marshland – Waterside 8
Marshland – Waterside 16 surfing",,,
004,"Pokémon HeartGold, SoulSilver",Gasly,Forest night,,,
004,"Pokémon HeartGold, SoulSilver",Haunter,Forest night,,,
004,"Pokémon HeartGold, SoulSilver",Onix,Wasteland,,,
004,"Pokémon HeartGold, SoulSilver",Drowzee,Swamp night,,,
004,"Pokémon HeartGold, SoulSilver",Hypno,"Swamp night
Swamp – Forest 5 night",,,
004,"Pokémon HeartGold, SoulSilver",Krabby,"Mountain – Waterside 3
Rocky Beach encounters fishing
Rocky Beach – Waterside 2 fishing
Rocky Beach – Waterside 3 fishing",,,
004,"Pokémon HeartGold, SoulSilver",Kingler,"Rocky Beach fishing
Wasteland – Waterside 10",,,
004,"Pokémon HeartGold, SoulSilver",Voltorb,Swamp – Peak 10,,,
004,"Pokémon HeartGold, SoulSilver",Cubone,Desert dawn day,,,
004,"Pokémon HeartGold, SoulSilver",Marowak,"Desert dawn day
Desert – Peak 6 dawn day",,,
004,"Pokémon HeartGold, SoulSilver",Lickitung,"Forest – Waterside 3
Mountain dawn day",,,
004,"Pokémon HeartGold, SoulSilver",Koffing,Marshland,,,
004,"Pokémon HeartGold, SoulSilver",Weezing,Marshland dawn day,,,
004,"Pokémon HeartGold, SoulSilver",Rhyhorn,"Savannah dawn day
Savannah – Peak 5",,,
004,"Pokémon HeartGold, SoulSilver",Rhydon,Savannah – Peak 10,,,
004,"Pokémon HeartGold, SoulSilver",Chansey,Meadow – Plains 12,,,
004,"Pokémon HeartGold, SoulSilver",Kangaskhan,Wasteland dawn day,,,
004,"Pokémon HeartGold, SoulSilver",Goldeen,"Swamp surfing
Swamp fishing
Swamp – Waterside 2 fishing
Rocky Beach fishing",,,
004,"Pokémon HeartGold, SoulSilver",Seaking,"Swamp fishing
Swamp – Waterside 3 fishing
Swamp – Waterside 6 fishing
Swamp – Waterside 4 surfing
Rocky Beach fishing",,,
004,"Pokémon HeartGold, SoulSilver",Mr. Mime,"Forest dawn day
Forest – Plains 3",,,
004,"Pokémon HeartGold, SoulSilver",Electabuzz,Forest – Plains 3,,,
004,"Pokémon HeartGold, SoulSilver",Magmar,"Peak
Peak – Peak 10 dawn day",,,
004,"Pokémon HeartGold, SoulSilver",Tauros,"Savannah dawn day
Savannah – Plains 5",,,
004,"Pokémon HeartGold, SoulSilver",Magikarp,"Swamp surfing fishing
Meadow surfing fishing
Marshland surfing fishing
Rocky Beach surfing fishing
Wetland fishing",,,
004,"Pokémon HeartGold, SoulSilver",Gyarados,"Meadow – Waterside 7 fishing
Meadow – Waterside 10 fishing
Meadow – Waterside 14 fishing
Marshland fishing
Marshland – Waterside 3 fishing
Marshland – Waterside 4 fishing
Wetland – Waterside 6 fishing
Wetland – Waterside 9 fishing",,,
004,"Pokémon HeartGold, SoulSilver",Lapras,"Rocky Beach surfing
Rocky Beach – Waterside 10 surfing
Rocky Beach – Waterside 14 surfing
Rocky Beach – Waterside 18 surfing",,,
004,"Pokémon HeartGold, SoulSilver",Ditto,"Wetland dawn day
Wetland – Waterside 15",,,
004,"Pokémon HeartGold, SoulSilver",Dratini,"Swamp surfing
Swamp – Waterside 10 surfing",,,
004,"Pokémon HeartGold, SoulSilver",Dragonair,"Swamp – Waterside 15 surfing
Swamp – Waterside 20 surfing",,,
004,"Pokémon HeartGold, SoulSilver",Sentret,"Swamp
Wetland dawn day",,,
004,"Pokémon HeartGold, SoulSilver",Furret,"Swamp – Plains 5
Wetland – Plains 2",,,
004,"Pokémon HeartGold, SoulSilver",Mareep,Rocky Beach – Forest 5,,,
004,"Pokémon HeartGold, SoulSilver",Marill,"Meadow night
Meadow surfing",,,
004,"Pokémon HeartGold, SoulSilver",Hoppip,Meadow dawn day,,,
004,"Pokémon HeartGold, SoulSilver",Skiploom,"Meadow dawn day
Meadow – Forest 8
Meadow – Waterside 3 surfing",,,
004,"Pokémon HeartGold, SoulSilver",Jumpluff,"Marshland – Plans 5
Marshland – Waterside 10 surfing",,,
004,"Pokémon HeartGold, SoulSilver",Sunkern,Meadow day,,,
004,"Pokémon HeartGold, SoulSilver",Wooper,"Meadow night
Meadow surfing
Meadow – Waterside 3
Marshland night
Marshland surfing
Wetland night
Wetland surfing",,,
004,"Pokémon HeartGold, SoulSilver",Quagsire,"Marshland – Waterside 13 surfing
Wetland night
Wetland surfing
Wetland – Waterside 3 surfing",,,
004,"Pokémon HeartGold, SoulSilver",Murkrow,"Swamp
Swamp – Waterside 10 surfing
Swamp – Forest 5 dawn day",,,
004,"Pokémon HeartGold, SoulSilver",Misdreavus,"Forest
Forest – Forest 4",,,
004,"Pokémon HeartGold, SoulSilver",Wobbuffet,"Peak
Peak – Peak 10 night",,,
004,"Pokémon HeartGold, SoulSilver",Girafarig,"Plains
Plains – Plains 3 dawn day",,,
004,"Pokémon HeartGold, SoulSilver",Shuckle,Marshland – Peak 8,,,
004,"Pokémon HeartGold, SoulSilver",Houndour,Savannah – Forest 4,,,
004,"Pokémon HeartGold, SoulSilver",Houndoom,Plains – Peak 10,,,
004,"Pokémon HeartGold, SoulSilver",Stantler,"Plains night
Plains – Plains 3 night
Plains – Forest 3 night",,,
004,"Pokémon HeartGold, SoulSilver",Smeargle,"Plains dawn day
Plains – Forest 3 dawn day",,,
004,"Pokémon HeartGold, SoulSilver",Larvitar,"Mountain dawn day
Mountain – Peak 5",,,
004,"Pokémon HeartGold, SoulSilver",Zigzagoon,"Plains – Forest 15
Savannah – Plains 10",,,
004,"Pokémon HeartGold, SoulSilver",Linoone,Peak – Plains 5,,,
004,"Pokémon HeartGold, SoulSilver",Lotad,"Desert – Waterside 8
Plains – Waterside 12",,,
004,"Pokémon HeartGold, SoulSilver",Lombre,Wetland – Plains 14,,,
004,"Pokémon HeartGold, SoulSilver",Seedot,Meadow – Plains 35,,,
004,"Pokémon HeartGold, SoulSilver",Nuzleaf,"Meadow – Forest 28
Meadow – Forest 35",,,
004,"Pokémon HeartGold, SoulSilver",Surskit,"Plains – Waterside 28
Forest – Waterside 24
Wetland – Plains 6",,,
004,"Pokémon HeartGold, SoulSilver",Masquerain,"Meadow – Waterside 10 surfing
Meadow – Waterside 14 surfing",,,
004,"Pokémon HeartGold, SoulSilver",Shroomish,"Savannah – Forest 35, Plains 12",,,
004,"Pokémon HeartGold, SoulSilver",Breloom,Wasteland – Forest 42,,,
004,"Pokémon HeartGold, SoulSilver",Vigoroth,Peak – Forest 56 Plains 28,,,
004,"Pokémon HeartGold, SoulSilver",Azurill,Savannah – Waterside 5,,,
004,"Pokémon HeartGold, SoulSilver",Nosepass,Meadow – Peak 35,,,
004,"Pokémon HeartGold, SoulSilver",Aron,Rocky Beach – Peak 24,,,
004,"Pokémon HeartGold, SoulSilver",Lairon,Peak – Peak 24,,,
004,"Pokémon HeartGold, SoulSilver",Meditite,Mountain – Forest 20,,,
004,"Pokémon HeartGold, SoulSilver",Medicham,Wasteland – Forest 35,,,
004,"Pokémon HeartGold, SoulSilver",Electrike,Rocky Beach – Plains 10,,,
004,"Pokémon HeartGold, SoulSilver",Manetric,"Plains – Plains 15
Rocky Beach – Forest 10
Wasteland – Plains 3",,,
004,"Pokémon HeartGold, SoulSilver",Volbeat,Mountain – Plains 10,,,
004,"Pokémon HeartGold, SoulSilver",Illumise,Wasteland – Plains 10,,,
004,"Pokémon HeartGold, SoulSilver",Roselia,Marshland – Forest 49,,,
004,"Pokémon HeartGold, SoulSilver",Torkoal,Savannah – Peak 35,,,
004,"Pokémon HeartGold, SoulSilver",Spinda,Desert – Plain 14,,,
004,"Pokémon HeartGold, SoulSilver",Trapinch,Desert – Peak 49,,,
004,"Pokémon HeartGold, SoulSilver",Vibrava,Desert – Forest 49,,,
004,"Pokémon HeartGold, SoulSilver",Cacnea,Desert – Forest 35,,,
004,"Pokémon HeartGold, SoulSilver",Cacturne,"Desert – Waterside 42
Savannah – Forest 35",,,
004,"Pokémon HeartGold, SoulSilver",Zangoose,"Peak – Plains 12
Plains – Peak 15",,,
004,"Pokémon HeartGold, SoulSilver",Seviper,Marshland – Plains 45,,,
004,"Pokémon HeartGold, SoulSilver",Lunatone,Mountain – Peak 15,,,
004,"Pokémon HeartGold, SoulSilver",Solrock,Wasteland – Peak 42,,,
004,"Pokémon HeartGold, SoulSilver",Barboach,"Marshland – Waterside 4 fishing
Marshland – Waterside 5 fishing",,,
004,"Pokémon HeartGold, SoulSilver",Corpish,"Rocky Beach – Waterside 15 fishing
Rocky Beach – Waterside 20 fishing
Wetland – Waterside 10 fishing
Wetland – Waterside 14fishing",,,
004,"Pokémon HeartGold, SoulSilver",Shuppet,Forest – Forest 35,,,
004,"Pokémon HeartGold, SoulSilver",Banette,Marshland – Peak 49,,,
004,"Pokémon HeartGold, SoulSilver",Duskull,"Swamp – Peak 28
Swamp – Waterside 35 surfing",,,
004,"Pokémon HeartGold, SoulSilver",Dusclops,Mountain – Forest 35,,,
004,"Pokémon HeartGold, SoulSilver",Chimecho,Swamp – Forest 15,,,
004,"Pokémon HeartGold, SoulSilver",Spheal,Peak – Waterside 35,,,
004,"Pokémon HeartGold, SoulSilver",Sealeo,"Mountain – Waterside 49, Peak 21",,,
004,"Pokémon HeartGold, SoulSilver",Bagon,"Swamp – Peak 56, Forest 35",,,
004,"Pokémon HeartGold, SoulSilver",Shelgon,Wetland – Peak 63,,,
004,"Pokémon HeartGold, SoulSilver",Beldum,Forest – Peak 63,,,
004,"Pokémon HeartGold, SoulSilver",Metang,Mountain – Peak 56,,,
004,"Pokémon HeartGold, SoulSilver",Bidoof,Forest – Waterside 10,,,
004,"Pokémon HeartGold, SoulSilver",Shinx,Plains – Plains 10,,,
004,"Pokémon HeartGold, SoulSilver",Luxio,Savannah – Plains 24,,,
004,"Pokémon HeartGold, SoulSilver",Budew,"Forest – Plains 24
Rocky Beach – Forest 18",,,
004,"Pokémon HeartGold, SoulSilver",Pachirisu,"Swamp – Plains 10
Wetland – Forest 8",,,
004,"Pokémon HeartGold, SoulSilver",Buizel,Wetland – Waterside 35,,,
004,"Pokémon HeartGold, SoulSilver",Floatzel,Swamp – Waterside 10,,,
004,"Pokémon HeartGold, SoulSilver",Chingling,Mountain – Forest 10,,,
004,"Pokémon HeartGold, SoulSilver",Bronzor,"Peak – Peak 35, Forest 14",,,
004,"Pokémon HeartGold, SoulSilver",Bronzong,"Forest – Peak 56, Forest 35",,,
004,"Pokémon HeartGold, SoulSilver",Gible,"Rocky Beach – Plains 49, Peak 49",,,
