number,title,idea,gold,silver,crystal,ruby,sapphire,emerald,firered,leafgreen,diamond,pearl,platinum,heartgold,soulsilver,black,white,black2,white2,x,y,omegaruby,alphasapphire,sun,moon,ultrasun,ultramoon,letsgopikachu,letsgoeevee,sword,shield,brilliantdiamond,shiningpearl,legendsarceus,scarlet,violet,legendsza
011,Gifts,Get the Pokémon gifted by NPCs in Shiny form.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,,,
012,Game Corner,Reset Pokémon given as prizes in Game Corner.,X,X,X,,,,X,X,,,,X,X,,,,,,,,,,,,,,,,,,,,,,
013,SBQ Ruby,"SBQ, or Shiny Badge Quest, means getting one Shiny for each badge obtained. While rules changes from player to player, that is basically this.",,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,Hunting Methods Testing,Testing the different hunting methods.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
015,A Shiny For Each Game,Get a Shiny in each game of the core series.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
016,Swarms,Obtain every Pokémon from Swarms (or Mass Outbreaks) in Shiny.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,
017,Bug-Catching Contest,Catch Shiny Pokémon during Bug-Catching Contest.,X,X,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,
018,Felines,Get one of every cat Pokémon in Shiny.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
019,A Pokémon Per Type,Get one Shiny per type. One Pokémon count for only one type.,,,,X,X,,X,,X,,,,X,X,X,,X,X,,,,,,,,,,,,,,,,,
020,Reclaim,Get Pokémon to compensate the missed Shinies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021,Vivillon,Get all Vivillon patterns in Shiny.,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,X,X,X
022,In-Game Events,Get every single wild Pokémon from In-Game events in Shiny.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,
023,Flower Pokémon,Get all Pokémon with flowers in Shiny form.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
024,1% Encounter Rate,Get Pokémon in Shiny from 1% Encouter Rate.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,
025,"Every Cats, Everywhere","Obtain a cat Pokémon in every location they can be found, and by egg.",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
026,Genius Pokémon,Get in Shiny Pokémon that are caught evolved under their level of evolution.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
027,A Pokémon In Each Ball,Use every types of Balls at least once for a Shiny.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
028,Hord Encounters,Find all Pokémon from Horde Encounters,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,
029,100% Encounter Rate,Get in Shiny Pokémon from 100% Encounter Rate.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,,X,X,
030,Phenomenon,Obtain all Pokémon from Phenomenon.,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,
031,Trophy Garden,Obtain all Pokémon from Trophy Garden in Shiny.,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,X,X,,,,
032,Dual-Slot Pokémon,Obtain Pokémon appearing while inserting a game in the GBA slot of a DS game.,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
033,Version-Exclusive Pokémon,Get in Shiny every Pokémon that are exclusive to one version of the set.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,
034,Radar-Exclusive Pokémon,Obtain every Radar-Exclusive Pokémon without using the Shiny Grass.,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,X,X,,,,
035,Featured Legendary of Each Game,Catch the featured Legendary of each game in their respective game.,X,X,X,X,X,X,,,X,X,X,X,X,,,,,,,,,,,,,,,,,X,X,,,,
036,Headbutt,Obtain all Pokémon from Headbutt Trees.,X,X,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,
037,Rock Smashing,Obtain Pokémon from Rock Smashing.,X,X,X,X,X,X,X,X,,,,X,X,,,,,X,X,X,X,,,,,,,,,,,,,,
038,Pokémon With Held Item,Get All Pokémon that hold an item in the wild.,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,
039,Gym Leaders Pokémon,Get Pokémon that are owned by Gym Leaders,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
040,Pokémon Special,"Get all nicknamed Pokémon from the main characters of Pokémon Special manga series, giving them the same Japanese nickname.",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
041,Pokémon Box,Obtain Pokémon from Pokémon Box Shiny.,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,Pokémon Colosseum,Obtain all Pokémon from Colosseum in Shiny.,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
043,Pokémon XD,Obtain Pokémon of XD in Shiny.,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,Tour of Kanto,Obtain one Shiny on every area of Kanto,X,X,X,,,,X,X,,,,X,X,,,,,,,,,,,,,X,X,,,,,,,,
045,Tour of Johto,Obtain one Shiny on every area of Johto.,X,X,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,
046,Tour of Hoenn,Finding a Pokémon in each area of Hoenn.,,,,X,X,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
047,Tour of Sinnoh,Finding a Pokémon in each area of Sinnoh.,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,,,,
048,Tour of Unova,Obtain one Shiny on every area of Unova.,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,
049,Tour of Kalos,Obtain one Shiny on every area of Kalos.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,
050,Tour of Alola,Obtain one Shiny on every area of Alola.,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,
051,Mega Evolutions,Obtain every Pokémon that can Mega Evolve from the games they have been introduced in.,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,X
052,Non-Playable Shinies,See every Shiny that can’t be caught. Exclude those Battle Frontier and similar and Watt Traders shown Pokémon.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,X,
053,Island Scan,Obtain every Pokémon from Island Scan with their special move.,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,
054,Places Without Pokémon,Obtaining Shiny Pokémon hatched at places where there is no Pokémon to obtain. Tests shall be done beforehand.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,
055,Event Pokémon,Obtain all Pokémon unlocked from Real-Life Events as Shiny.,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,X,X,,,,,,,,,,,,,,
056,Distributed Pokémon,Obtain all Pokémon from distributions and Wonder Cards that can be Shiny.,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,
057,Wild Tera Type Pokémon,Obtain all Wild Tera Type Pokémon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,
058,Tour of Galar,Obtain one Shiny on every area of Galar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
059,Tour of Paldea,Obtain one Shiny on every area of Paldea.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,
060,Tour of Kitakami,Obtain one Shiny on every area of Kitakami.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,
061,Tour of Hisui,Obtain one Shiny on every area of Hisui.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
062,Fixed Alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063,Regional Forms,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,X,X,,,X,X,X,
064,Sword and Shield Resets,Doesn’t feature fossil Pokémon nor Wild Area static Pokémon,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
065,Berry Tree,,,,,,,,,,,,,,,,,,,X,X,,,X,X,X,X,,,X,X,,,,,,
