Français,Anglais,Type
Rencontres,Encounters,
Surf,Surfing,
Troupeau,Swarm,
Pêche,Fishing,
Canne,Old Rod,
Hard Resets,Hard Resets,
Soft Resets,Soft Resets,
Safari des Amis,Friend Safari,
Méga Canne,Super Rod,
Super Canne,Good Rod,
Intrusion,SOS Battle,
Apparition massive de Pokémon,Mass Outbreak,
Oeufs,Eggs,
Poké,Poké,
Super,Great,
Hyper,Ultra,
Honor,Premier,
Sombre,Dusk,
Filet,Net,
Scuba,Dive,
Rapide,Quick,
Soin,Heal,
Luxe,Luxury,
Compét',Sport,
Bis,Repeat,
Faiblo,Nest,
Chrono,Timer,
Safari,Safari,
Mâle,Male,
Femelle,Female,
Hardi,Hardy,
Solo,Lonely,
Brave,Brave,
Rigide,Adamant,
Mauvais,Naughty,
Assuré,Bold,
Docile,Docile,
Relax,Relaxed,
Malin,Impish,
Lâche,Lax,
Timide,Timid,
Pressé,Hasty,
Sérieux,Serious,
Jovial,Jolly,
Naïf,Naive,
Modeste,Modest,
Doux,Mild,
Discret,Quiet,
Pudique,Bashful,
Foufou,Rash,
Calme,Calm,
Gentil,Gentle,
Malpoli,Sassy,
Prudent,Careful,
Bizarre,Quirky,
Il adore manger.,It loves to eat!,
Il s'assoupit souvent.,It takes plenty of siestas!,
Il dort beaucoup.,It nods off a lot!,
Il éparpille souvent les choses.,It scatters things often!,
Il aime se détendre.,It likes to relax!,
Il est fier de sa puissance.,It's proud of its power!,
Il aime se démener.,It likes to thrash about!,
Il est un peu coléreux.,It's a little quick tempered!,
Il aime combattre.,It likes to fight!,
Il s'emporte facilement.,It's quick tempered!,
Il a un corps robuste.,It has a sturdy body!,
Il sait encaisser les coups.,It's capable of taking hits!,
Il est très obstiné.,It's highly persistent!,
Il a une bonne endurance.,It has good endurance!,
Il est persévérant.,It has good perseverance!,
Il aime la vitesse.,It likes to run!,
Il est attentif aux sons.,It's alert to sounds!,
Il est bête et impulsif.,It's impetuous and silly!,
Il aime faire le pitre.,It's somewhat of a clown!,
Il fuit rapidement.,It's quick to flee!,
Il est extrêmement curieux.,It's highly curious!,
Il est coquin.,It's mischievous!,
Il est très astucieux.,It's thoroughly cunning!,
Il est souvent dans la lune.,It's often lost in thought!,
Il est très particulier.,It's very finicky!,
Il est très volontaire.,It's strong willed!,
Il est un peu vaniteux.,It's somewhat vain!,
Il a l'esprit rebelle.,It's strongly defiant!,
Il a horreur de perdre.,It hates to lose!,
Il est assez entêté.,It's somewhat stubborn!,
Cran,Guts,Talent
Tête de Roc,Rock Head,Talent
Intimidation,Intimidate,Talent
Lévitation,Levitate,Talent
Agitation,Hustle,Talent
Engrais,Overgrow,Talent
Inconscient,Unaware,Talent
Écran Poudre,Shield Dust,Talent
Luminescence,Illuminate,Talent
Brasier,Blaze,Talent
Joliberges,Canalave City,Sinnoh
Vestigion,Eterna City,Sinnoh
Verchamps,Pastoria City,Sinnoh
Rivamar,Sunyshore City,Sinnoh
Ligue Pokémon,Pokémon League,Sinnoh
Mine Charbourg,Oreburgh Mine,Sinnoh
Les Eoliennes,Valley Windworks,Sinnoh
Forêt Vestigion,Eterna Forest,Sinnoh
Forge Fuego,Fuego Ironworks,Sinnoh
Mont Couronné,Mt. Coronet,Sinnoh
Grand Marais,Great Marsh,Sinnoh
Ruines Bonville,Solaceon Ruins,Sinnoh
Route Victoire,Victory Road,Sinnoh
Chemin Rocheux,Ravaged Path,Sinnoh
Entrée Charbourg,Oreburgh Gate,Sinnoh
Mont Abrupt,Stark Mountain,Sinnoh
Chemin Source,Spring Path,Sinnoh
Grotte Retour,Turnback Cave,Sinnoh
Temple Frimapic,Snowpoint Temple,Sinnoh
Grotte Revèche,Wayward Cave,Sinnoh
Grotte Ruinem.,Ruin Maniac Cave,Sinnoh
Jardin Trophée,Trophy Garden,Sinnoh
Ile de Fer,Iron Island,Sinnoh
Vieux Château,Old Chateau,Sinnoh
Lac Vérité,Lake Verity,Sinnoh
Lac Courage,Lake Valor,Sinnoh
Lac Savoir,Lake Acuity,Sinnoh
Rive Lac Courage,Valor Lakefront,Sinnoh
Rive Lac Savoir,Acuity Lakefront,Sinnoh
Route 201,Route 201,Sinnoh
Route 202,Route 202,Sinnoh
Route 203,Route 203,Sinnoh
Route 204,Route 204,Sinnoh
Route 205,Route 205,Sinnoh
Route 206,Route 206,Sinnoh
Route 207,Route 207,Sinnoh
Route 208,Route 208,Sinnoh
Route 209,Route 209,Sinnoh
Tour Perdue,Lost Tower,Sinnoh
Route 210,Route 210,Sinnoh
Route 211,Route 211,Sinnoh
Route 212,Route 212,Sinnoh
Route 213,Route 213,Sinnoh
Route 214,Route 214,Sinnoh
Route 215,Route 215,Sinnoh
Route 216,Route 216,Sinnoh
Route 217,Route 217,Sinnoh
Route 218,Route 218,Sinnoh
Route 219,Route 219,Sinnoh
Route 221,Route 221,Sinnoh
Route 222,Route 222,Sinnoh
Route 224,Route 224,Sinnoh
Route 225,Route 225,Sinnoh
Route 227,Route 227,Sinnoh
Route 228,Route 228,Sinnoh
Route 229,Route 229,Sinnoh
Bonaugure,Twinleaf Town,Sinnoh
Célestia,Celestic Town,Sinnoh
Aire de Détente,Resort Area,Sinnoh
Chenal 220,Sea Route 220,Sinnoh
Chenal 223,Sea Route 223,Sinnoh
Chenal 226,Sea Route 226,Sinnoh
Chenal 230,Sea Route 230,Sinnoh
Ebènelle,Blackthorn City,Johto
Tour Cendrée,Burned Tower,Johto
Céladopole,Celadon City,Kanto
Azuria,Cerulean City,Kanto
Ville Griotte,Cherrygrove City,Johto
Irisia,Cianwood City,Johto
Cramois'Ile,Cinnabar Island,Kanto
Antre Noir,Dark Cave,Johto
Cave TAUPIQUEUR,Diglett's Cave,Kanto
Antre du Dragon,Dragon's Den,Johto
Rosalia,Ecruteak City,Johto
Parmanie,Fuchsia City,Kanto
Route de Glace,Ice Path,Johto
Bois aux Chênes,Ilex Forest,Johto
Lac Colère,Lake of Rage,Johto
Mont Sélénite,Mt. Moon,Kanto
Mont Creuset,Mt. Mortar,Johto
Mont Argenté,Mt. Silver,Johto
Parc Naturel,National Park,Johto
Bourg Geon,New Bark Town,Johto
Oliville,Olivine City,Johto
Bourg Palette,Pallet Town,Kanto
Grotte,Rock Tunnel,Kanto
Route 1,Route 1,Kanto
Route 10,Route 10,Kanto
Route 11,Route 11,Kanto
Route 12,Route 12,Kanto
Route 13,Route 13,Kanto
Route 14,Route 14,Kanto
Route 15,Route 15,Kanto
Route 16,Route 16,Kanto
Route 17,Route 17,Kanto
Route 18,Route 18,Kanto
Chenal 19,Sea Route 19,Kanto
Route 2,Route 2,Kanto
Chenal 20,Sea Route 20,Kanto
Chenal 21,Sea Route 21,Kanto
Route 22,Route 22,Kanto
Route 24,Route 24,Kanto
Route 25,Route 25,Kanto
Route 26,Route 26,Kanto
Route 27,Route 27,Kanto
Route 28,Route 28,Kanto
Route 29,Route 29,Johto
Route 3,Route 3,Kanto
Route 30,Route 30,Johto
Route 31,Route 31,Johto
Route 32,Route 32,Johto
Route 33,Route 33,Johto
Route 34,Route 34,Johto
Route 35,Route 35,Johto
Route 36,Route 36,Johto
Route 37,Route 37,Johto
Route 38,Route 38,Johto
Route 39,Route 39,Johto
Route 4,Route 4,Kanto
Chenal 40,Sea Route 40,Johto
Chenal 41,Sea Route 41,Johto
Route 42,Route 42,Johto
Route 43,Route 43,Johto
Route 44,Route 44,Johto
Route 45,Route 45,Johto
Route 46,Route 46,Johto
Route 47,Route 47,Johto
Route 48,Route 48,Johto
Route 5,Route 5,Kanto
Route 6,Route 6,Kanto
Route 7,Route 7,Kanto
Route 8,Route 8,Kanto
Route 9,Route 9,Kanto
Ruines d'Alpha,Ruins of Alph,Johto
Iles Ecume,Seafoam Islands,Kanto
Tour CHETIFLOR,Sprout Tower,Johto
Tour Carillon,Bell Tower,Johto
Chutes Tohjo,Tohjo Falls,Johto
Caves Jumelles,Union Cave,Johto
Caverne Azurée,Cerulean Cave,Kanto
Inconnu; que des Ptitard,Unknown; all Poliwag,Johto
Inconnu; que des Rattata,Unknown; all Rattata,Johto
Inconnu; que des insectes,Unknown; all bugs,Johto
Carmin sur Mer,Vermilion City,Kanto
Route Victoire,Victory Road,Kanto
Mauville,Violet City,Johto
Forêt de Jade,Viridian Forest,Kanto
Tourb'Iles,Whirl Islands,Johto
Route 23,Route 23,Kanto
Centrale,Kanto Power Plant,Kanto
Route Victoire,Victory Road,Kanto
Tour Pokémon,Pokémon Tower,Kanto
Manoir Pokémon,Pokémon Mansion,Kanto
Parc Safari,Safari Zone,Kanto
Littorella,Sandgem Town,Sinnoh
Floraville,Floaroma Town,Sinnoh
Bonville,Solaceon Town,Sinnoh
Féli-Cité,Jubilife City,Sinnoh
Charbourg,Oreburgh City,Sinnoh
Unionpolis,Hearthome City,Sinnoh
Voilaroc,Veilstone City,Sinnoh
Frimapic,Snowpoint City,Sinnoh
Colonnes Lances,Spear Pillar,Sinnoh
Parc des Amis,Pal Park,Sinnoh
Square Paisible,Amity Square,Sinnoh
Pré Floraville,Floaroma Meadow,Sinnoh
Ile Pleine Lune,Fullmoon Island,Sinnoh
Source Adieu,Sendoff Spring,Sinnoh
Paradis Fleuri,Flower Paradise,Sinnoh
Tunnel Runiem.,Maniac Tunnel,Sinnoh
QG Galaxie,Galactic HQ,Sinnoh
Rive Lac Vérité,Verity Lakefront,Sinnoh
Ile Nouvellelune,Newmoon Island,Sinnoh
Tour de Combat,Battle Tower,Sinnoh
Aire de Combat,Fight Area,Sinnoh
Aire de Survie,Survival Area,Sinnoh
Passage Marin,Seabreak Path,Sinnoh
Salle Originelle,Hall of Origin,Sinnoh
Salle Originelle,Hall of Origin,Sinnoh
Caverne Vérité,Verity Cavern,Sinnoh
Caverne Courage,Valor Cavern,Sinnoh
Caverne Savoir,Acuity Cavern,Sinnoh
Féli-Télé,Jubilife TV,Sinnoh
Pokémontre S.A.,Pokétch Co.,Sinnoh
GTS,GTS,Sinnoh
Ecole Dresseurs,Trainers’ School,Sinnoh
Musée Minier,Mining Museum,Sinnoh
Fleuriste,Flower Shop,Sinnoh
Boutique de Vélo,Cycle Shop,Sinnoh
Salle Concours,Contest Hall,Sinnoh
Poffinerie,Poffin House,Sinnoh
Bâtiment Etrange,Foreign Building,Sinnoh
Pension Pokémon,Pokémon Day Care,Sinnoh
C. Com. Voilaroc,Veilstone Store,Sinnoh
Casino,Game Corner,Sinnoh
Bibl. Joliberges,Canalave Library,Sinnoh
Phare Panorama,Vista Lighthouse,Sinnoh
Marché Rivamar,Sunyshore Market,Sinnoh
Abri Petitpas,Footstep House,Sinnoh
Café,Café,Sinnoh
Grand Lac,Grand Lake,Sinnoh
Restaurant,Restaurant,Sinnoh
Parc des Combats,Battle Park,Sinnoh
Zone de Combat,Battle Frontier,Sinnoh
Usine de Combat,Battle Factory,Sinnoh
Castel de Combat,Battle Castle,Sinnoh
Arcade de Combat,Battle Arcade,Sinnoh
Scène de Combat,Battle Hall,Sinnoh
Monde Distorsion,Distortion World,Sinnoh
Terminal Mondial,Global Terminal,Sinnoh
Villa,Villa,Sinnoh
Café Combats,Battleground,Sinnoh
Salle MOTISMA,ROTOM's Room,Sinnoh
Team G Vestigion,T.G. Eterna Bldg,Sinnoh
Ruines de Fer,Iron Ruins,Sinnoh
Ruines Iceberg,Iceberg Ruins,Sinnoh
Ruines Pic Roche,Rock Peak Ruins,Sinnoh
Ecorcia,Azalea Town,Johto
Doublonville,Goldenrod City,Johto
Acajou,Mahogany Town,Johto
Argenta,Pewter City,Kanto
Lavanville,Lavender Town,Kanto
Plateau Indigo,Indigo Plateau,Kanto
Safrania,Saffron City,Kanto
Phare,Lighthouse,Johto
Repaire Rocket d'Acajou,Team Rocket HQ,Johto
Doublon-Tunnel,Goldenrod Tunnel,Johto
Grotte Argentée,Mt. Silver Cave,Johto
Dôme Pokéathlon,Pokéathlon Dome,Johto
Aquaria,S.S. Aqua,Johto
Portail Safari,Safari Zone Gate,Johto
Grotte Falaise,Cliff Cave,Johto
Atrium Combat,Frontier Access,Johto
Sentier Carillon,Bellchime Trail,Johto
Ruines Sinjoh,Sinjoh Ruins,Johto
Tour Enfouie,Embedded Tower,Johto
Pokéwalker,Pokéwalker,Johto
Portail Falaise,Cliff Edge Gate,Johto
Tour Radio,Radio Tower,Johto
Couple Pension,Day-Care Couple,Lieu
Echange Link,Link trade (arrive),Lieu
Echange Link,Link trade (met),Lieu
Kanto,Kanto,Lieu
Johto,Johto,Lieu
Hoenn,Hoenn,Lieu
Sinnoh,Sinnoh,Lieu
Pays lointain,Distant land,Lieu
un voyageur,Traveling Man,Lieu
Armand,Riley,Lieu
Cynthia,Cynthia,Lieu
Endroit mystér.,Mystery Zone,Lieu
Endroit superbe,Lovely place,Lieu
Pokémon Ranger,Pokémon Ranger,Lieu
Endroit lointain,Faraway place,Lieu
Film Pokémon,Pokémon Movie,Lieu
Film Pokémon 06,Pokémon Movie 06,Lieu
Film Pokémon 07,Pokémon Movie 07,Lieu
Film Pokémon 08,Pokémon Movie 08,Lieu
Film Pokémon 09,Pokémon Movie 09,Lieu
Film Pokémon 10,Pokémon Movie 10,Lieu
Film Pokémon 11,Pokémon Movie 11,Lieu
Film Pokémon 12,Pokémon Movie 12,Lieu
Film Pokémon 13,Pokémon Movie 13,Lieu
Film Pokémon 14,Pokémon Movie 14,Lieu
Film Pokémon 15,Pokémon Movie 15,Lieu
Film Pokémon 16,Pokémon Movie 16,Lieu
Dessin ani. PKMN,Pokémon Cartoon,Lieu
Space World,Space World,Lieu
Space World 06,Space World 06,Lieu
Space World 07,Space World 07,Lieu
Space World 08,Space World 08,Lieu
Space World 09,Space World 09,Lieu
Space World 10,Space World 10,Lieu
Space World 11,Space World 11,Lieu
Space World 12,Space World 12,Lieu
Space World 13,Space World 13,Lieu
Space World 14,Space World 14,Lieu
Space World 15,Space World 15,Lieu
Space World 16,Space World 16,Lieu
Pokémon Festa,Pokémon Festa,Lieu
Pokémon Festa 06,Pokémon Festa 06,Lieu
Pokémon Festa 07,Pokémon Festa 07,Lieu
Pokémon Festa 08,Pokémon Festa 08,Lieu
Pokémon Festa 09,Pokémon Festa 09,Lieu
Pokémon Festa 10,Pokémon Festa 10,Lieu
Pokémon Festa 11,Pokémon Festa 11,Lieu
Pokémon Festa 12,Pokémon Festa 12,Lieu
Pokémon Festa 13,Pokémon Festa 13,Lieu
Pokémon Festa 14,Pokémon Festa 14,Lieu
Pokémon Festa 15,Pokémon Festa 15,Lieu
Pokémon Festa 16,Pokémon Festa 16,Lieu
POKéPARK,POKéPARK,Lieu
POKéPARK 06,POKéPARK 06,Lieu
POKéPARK 07,POKéPARK 07,Lieu
POKéPARK 08,POKéPARK 08,Lieu
POKéPARK 09,POKéPARK 09,Lieu
POKéPARK 10,POKéPARK 10,Lieu
POKéPARK 11,POKéPARK 11,Lieu
POKéPARK 12,POKéPARK 12,Lieu
POKéPARK 13,POKéPARK 13,Lieu
POKéPARK 14,POKéPARK 14,Lieu
POKéPARK 15,POKéPARK 15,Lieu
POKéPARK 16,POKéPARK 16,Lieu
Centre Pokémon,Pokémon Center,Lieu
CP Tokyo,PC Tokyo,Lieu
CP Osaka,PC Osaka,Lieu
CP Fukuoka,PC Fukuoka,Lieu
CP Nagoya,PC Nagoya,Lieu
CP Sapporo,PC Sapporo,Lieu
CP Yokohama,PC Yokohama,Lieu
Nintendo World,Nintendo World,Lieu
Evénem. Pokémon,Pokémon Event,Lieu
Evén. Pokémon 06,Pokémon Event 06,Lieu
Evén. Pokémon 07,Pokémon Event 07,Lieu
Evén. Pokémon 08,Pokémon Event 08,Lieu
Evén. Pokémon 09,Pokémon Event 09,Lieu
Evén. Pokémon 10,Pokémon Event 10,Lieu
Evén. Pokémon 11,Pokémon Event 11,Lieu
Evén. Pokémon 12,Pokémon Event 12,Lieu
Evén. Pokémon 13,Pokémon Event 13,Lieu
Evén. Pokémon 14,Pokémon Event 14,Lieu
Evén. Pokémon 15,Pokémon Event 15,Lieu
Evén. Pokémon 16,Pokémon Event 16,Lieu
Evénement Wi-Fi,Wi-Fi Event,Lieu
Cadeau Wi-Fi,Wi-Fi Gift,Lieu
Fan Club Pokémon,Pokémon Fan Club,Lieu
Lieu d'Evénement,Event Site,Lieu
Evénem. Concert,Concert Event,Lieu
M. Pokémon,Mr. Pokémon,Lieu
Castor,Primo,Lieu
Endroit Mystérieux,Mystery Zone,Unys
Endroit Lointain,Faraway place,Unys
Renouet,Nuvema Town,Unys
Arabelle,Accumula Town,Unys
Ogoesse,Striaton City,Unys
Maillard,Nacrene City,Unys
Volucité,Castelia City,Unys
Méanville,Nimbasa City,Unys
Port Yoneuve,Driftveil City,Unys
Parsemille,Mistralton City,Unys
Flocombe,Icirrus City,Unys
Janusia,Opelucid City,Unys
Route 1,Route 1,Unys
Route 2,Route 2,Unys
Route 3,Route 3,Unys
Route 4,Route 4,Unys
Route 5,Route 5,Unys
Route 6,Route 6,Unys
Route 7,Route 7,Unys
Route 8,Route 8,Unys
Route 9,Route 9,Unys
Route 10,Route 10,Unys
Route 11,Route 11,Unys
Route 12,Route 12,Unys
Route 13,Route 13,Unys
Route 14,Route 14,Unys
Route 15,Route 15,Unys
Route 16,Route 16,Unys
Chenal 17,Route 17,Unys
Route 18,Route 18,Unys
Vestiges du Rêve,Dreamyard,Unys
Forêt d'Empoigne,Pinwheel Forest,Unys
Désert Délassant,Desert Resort,Unys
Château Enfoui,Relic Castle,Unys
Hangar Frigorifique,Cold Storage,Unys
Grotte Électrolithe,Chargestone Cave,Unys
Mont Foré,Twist Mountain,Unys
Tour Dragospire,Dragonspiral Tower,Unys
Route Victoire,Victory Road,Unys
Entrelasque,Lacunosa Town,Unys
Vaguelone,Undella Town,Unys
Rotombourg,Anville Town,Unys
Ligue Pokémon,Pokémon League,Unys
Palais de N,N's Castle,Unys
L'Étoile d'Unys,Royal Unova,Unys
Engrenage du Métro,Gear Station,Unys
Métro de Combat,Battle Subway,Unys
Music-Hall,Musical Theater,Unys
Ville Noire,Black City,Unys
Forêt Blanche,White Forest,Unys
Tour Union,Unity Tower,Unys
Veine Souterraine,Wellspring Cave,Unys
Grotte Parsemille,Mistralton Cave,Unys
Clairière Réflexion,Rumination Field,Unys
Tour des Cieux,Celestial Tower,Unys
Tourbière Flocombe,Moor of Icirrus,Unys
Centre Commercial,Shopping Mall,Unys
Antre d'Entraînement,Challenger's Cave,Unys
Laboratoire Fret,Poké Transfer Lab,Unys
Grotte Cyclopéenne,Giant Chasm,Unys
Île Liberté,Liberty Garden,Unys
Labo P2,P2 Laboratory,Unys
Pont Sagiciel,Skyarrow Bridge,Unys
Pont Yoneuve,Driftveil Drawbridge,Unys
Pont Ferroviaire,Tubeline Bridge,Unys
Pont du Hameau,Village Bridge,Unys
Pont de l'Inconnu,Marvelous Bridge,Unys
Heylink,Entralink,Unys
Autel Abondance,Abundant Shrine,Unys
Baie Vaguelone,Undella Bay,Unys
Bois des Illusions,Lostlorn Forest,Unys
Salle Épreuve,Trial Chamber,Unys
Espace Guide,Guidance Chamber,Unys
Forêt du Heylink,Entree Forest,Unys
Porte Arabelle,Accumula Gate,Unys
Porte Vaguelone,Undella Gate,Unys
Porte Maillard,Nacrene Gate,Unys
Porte Volucité,Castelia Gate,Unys
Porte Méanville,Nimbasa Gate,Unys
Porte Janusia,Opelucid Gate,Unys
Porte Noire,Black Gate,Unys
Porte Blanche,White Gate,Unys
Porte de Pont,Bridge Gate,Unys
Porte de Route,Route Gate,Unys
Ruines des Abysses,Abyssal Ruins,Unys
Clémenti-Ville,Petalburg City,Hoenn
Poivressel,Slateport City,Hoenn
Nénucrique,Lilycove City,Hoenn
Algatia,Mossdeep City,Hoenn
Atalanopolis,Sootopolis City,Hoenn
Éternara,Ever Grande City,Hoenn
Site Météore,Meteor Falls,Hoenn
Tunnel Mérazon,Rusturf Tunnel,Hoenn
Grotte Granite,Granite Cave,Hoenn
Bois Clémenti,Petalburg Woods,Hoenn
Sentier Sinuroc,Jagged Pass,Hoenn
Chemin Ardent,Fiery Path,Hoenn
Mont Mémoria,Mt. Pyre,Hoenn
Caverne Fondmer,Seafloor Cavern,Hoenn
Grotte Origine,Cave of Origin,Hoenn
Route Victoire,Victory Road,Hoenn
Grotte Tréfonds,Shoal Cave,Hoenn
New Lavandia,New Mauville,Hoenn
Épave,Abandoned Ship,Hoenn
Pilier Céleste,Sky Pillar,Hoenn
Route 101,Route 101,Hoenn
Route 102,Route 102,Hoenn
Route 103,Route 103,Hoenn
Route 104,Route 104,Hoenn
Chenal 105,Route 105,Hoenn
Chenal 106,Route 106,Hoenn
Chenal 107,Route 107,Hoenn
Chenal 108,Route 108,Hoenn
Chenal 109,Route 109,Hoenn
Route 110,Route 110,Hoenn
Route 111,Route 111,Hoenn
Route 112,Route 112,Hoenn
Route 113,Route 113,Hoenn
Route 114,Route 114,Hoenn
Route 115,Route 115,Hoenn
Route 116,Route 116,Hoenn
Route 117,Route 117,Hoenn
Route 118,Route 118,Hoenn
Route 119,Route 119,Hoenn
Route 120,Route 120,Hoenn
Route 121,Route 121,Hoenn
Chenal 122,Route 122,Hoenn
Route 123,Route 123,Hoenn
Chenal 124,Route 124,Hoenn
Chenal 125,Route 125,Hoenn
Chenal 126,Route 126,Hoenn
Chenal 127,Route 127,Hoenn
Chenal 128,Route 128,Hoenn
Chenal 129,Route 129,Hoenn
Chenal 130,Route 130,Hoenn
Chenal 131,Route 131,Hoenn
Chenal 132,Route 132,Hoenn
Chenal 133,Route 133,Hoenn
Chenal 134,Route 134,Hoenn
Parc Safari,Safari Zone,Hoenn
Myokara,Dewford Town,Hoenn
Pacifiville,Pacifidlog Town,Hoenn
Planque Magma,Magma Hideout,Hoenn
Tour Mirage,Mirage Tower,Hoenn
Voie du Désert,Desert Underpass,Hoenn
Grotte Atelier,Artisan Cave,Hoenn
Grotte Métamo,Altering Cave,Hoenn
Chambre Anemune,Monean Chamber,Kanto
Chambre Deulipe,Liptoo Chamber,Kanto
Chambre Prois,Weepth Chamber,Kanto
Chambre Jonquatre,Dilford Chamber,Kanto
Chambre Hibicinq,Scufib Chamber,Kanto
Chambre Irix,Rixy Chamber,Kanto
Chambre Poinsept,Viapos Chamber,Kanto
L'Océane,S.S. Anne,Kanto
Mont Braise,Mt. Ember,Kanto
Bois Baies,Berry Forest,Kanto
Grotte de Glace,Icefall Cave,Kanto
Forbuissons,Pattern Bush,Kanto
Grotte Perdue,Lost Cave,Kanto
Route Tison,Kindle Road,Kanto
Plage Trésor,Treasure Beach,Kanto
Cap Falaise,Cape Brink,Kanto
Pont du Lien,Bond Bridge,Kanto
Port Ile 3,Three Isle Port,Kanto
Camp de Vacances,Resort Gorgeous,Kanto
Labyrinthe d'O,Water Labyrinth,Kanto
Pré Ile 5,Five Isle Meadow,Kanto
Mémorial,Memorial Pillar,Kanto
Ile du Lointain,Outcast Island,Kanto
Chemin Vert,Green Path,Kanto
Agualcanal,Water Path,Kanto
Vallée Ruine,Ruin Valley,Kanto
Tour Dresseurs,Trainer Tower,Kanto
Entrée du Canyon,Canyon Entrance,Kanto
Canyon Sesor,Sevault Canyon,Kanto
Ruines Tanoby,Tanoby Ruins,Kanto
Ile 1,One Island,Kanto
Ile 4,Four Island,Kanto
Ile 5,Five Island,Kanto
Grotte Métamo,Altering Cave,Kanto
Pavonnay,Aspertia City,Unys
Ondes-sur-Mer,Virbank City,Unys
Papeloa,Humilau City,Unys
Pokéwood,PokéStar Studios,Unys
Galerie Concorde,Join Avenue,Unys
Amaillide,Floccesy Town,Unys
Arpentières,Lentimas Town,Unys
Route 19,Route 19,Unys
Route 20,Route 20,Unys
Chenal 21,Route 21,Unys
Route 22,Route 22,Unys
Route 23,Route 23,Unys
Égouts de Volucité,Castelia Sewers,Unys
Ranch d'Amaillide,Floccesy Ranch,Unys
Z.I. d'Ondes-sur-Mer,Virbank Complex,Unys
Mont Renenvers,Reversal Mountain,Unys
Manoir de l'Étrange,Strange House,Unys
Route Victoire,Victory Road,Unys
Frégate Plasma,Plasma Frigate,Unys
Chemin Enfoui,Relic Passage,Unys
Route Bardane,Clay Tunnel,Unys
Arbre Creux Blanc,White Treehollow,Unys
Gratte-Ciel Noir,Black Tower,Unys
Grotte Littorale,Seaside Cave,Unys
Caverne des Esprits,Cave of Being,Unys
Trouée Cachée,Hidden Grotto,Unys
Aquatube,Marine Tube,Unys
Porte Ondes-sur-Mer,Virbank Gate,Unys
Porte Pavonnay,Aspertia Gate,Unys
Réserve Naturelle,Nature Sanctuary,Unys
Bureau des Médailles,Medal Secretariat,Unys
Ruines Enfouies,Underground Ruins,Unys
Salle Pic Rocheux,Rocky Mountain Room,Unys
Salle Iceberg,Glacier Room,Unys
Salle Fer,Iron Room,Unys
Bois du Serment,Pledge Grove,Unys
Bourg-en-Vol,Littleroot Town,Hoenn
Rosyères,Oldale Town,Hoenn
Vermilava,Lavaridge Town,Hoenn
Autéquia,Fallarbor Town,Hoenn
Vergazon,Verdanturf Town,Hoenn
Lavandia,Mauville City,Hoenn
Mérouville,Rustboro City,Hoenn
Cimetronelle,Fortree City,Hoenn
Fond marin,Underwater,Hoenn
